,name,parent,numeral,discovery_year,year_announced,discovered_by,notes,mean_radius_km,orbital_semi_km,sidereal_period
248,Miranda,Uranus,5.0,1948.0,1949.0,Kuiper,Main-group moon,235.8,129,1.413
249,Cordelia,Uranus,6.0,1986.0,1986.0,Terrile (Voyager 2),Inner moon (shepherd),20.1,498,0.335
250,Ophelia,Uranus,7.0,1986.0,1986.0,Terrile (Voyager 2),Inner moon (shepherd),21.4,538,0.376
251,Bianca,Uranus,8.0,1986.0,1986.0,Smith (Voyager 2),Inner moon,25.7,592,0.435
252,Cressida,Uranus,9.0,1986.0,1986.0,Synnott (Voyager 2),Inner moon,39.8,618,0.464
253,Desdemona,Uranus,10.0,1986.0,1986.0,Synnott (Voyager 2),Inner moon,32.0,627,0.474
254,Juliet,Uranus,11.0,1986.0,1986.0,Synnott (Voyager 2),Inner moon,46.8,644,0.493
255,Portia,Uranus,12.0,1986.0,1986.0,Synnott (Voyager 2),Inner moon,67.6,661,0.513
256,Rosalind,Uranus,13.0,1986.0,1986.0,Synnott (Voyager 2),Inner moon,36.0,699,0.558
257,Belinda,Uranus,14.0,1986.0,1986.0,Synnott (Voyager 2),Inner moon,40.3,753,0.624
258,Puck,Uranus,15.0,1985.0,1986.0,Synnott (Voyager 2),Inner moon,81.0,860,0.762
259,Caliban,Uranus,16.0,1997.0,1997.0,"Gladman, Nicholson, Burns, Kavelaars",Retrograde irregular,36.4,723,579.73
260,Sycorax,Uranus,17.0,1997.0,1997.0,"Gladman, Nicholson, Burns, Kavelaars",Retrograde irregular,93.0,121,1288.38
261,Prospero,Uranus,18.0,1999.0,1999.0,"Gladman, Holman, Kavelaars, Petit, Scholl",Retrograde irregular,25.0,162,1978.29
262,Setebos,Uranus,19.0,1999.0,1999.0,"Gladman, Holman, Kavelaars, Petit, Scholl",Retrograde irregular,24.0,174,2225.21
263,Stephano,Uranus,20.0,1999.0,1999.0,"Gladman, Holman, Kavelaars, Petit, Scholl",Retrograde irregular,16.0,800,677.36
264,Trinculo,Uranus,21.0,2001.0,2002.0,"Holman, Kavelaars, Milisavljevic",Retrograde irregular,9.5,850,749.24
265,Francisco,Uranus,22.0,2001.0,2003.0,"Holman, Kavelaars, Milisavljevic, Gladman",Retrograde irregular,11.0,427,266.56
266,Margaret,Uranus,23.0,2003.0,2003.0,"Sheppard, Jewitt",Prograde irregular,10.0,143,168.0
267,Ferdinand,Uranus,24.0,2001.0,2003.0,"Holman, Kavelaars, Milisavljevic, et al.",Retrograde irregular,10.0,209,2887.21
268,Perdita,Uranus,25.0,1986.0,,Karkoschka (Voyager 2),Inner moon,15.0,764,0.638
269,Mab,Uranus,26.0,2003.0,2003.0,"Showalter, Lissauer",Inner moon,12.0,977,0.923
270,Cupid,Uranus,27.0,2003.0,2003.0,"Showalter, Lissauer",Inner moon,9.0,743,0.613
271,Triton,Neptune,1.0,1846.0,1846.0,Lassell,Retrograde irregular,1353.4,354,5.877
272,Nereid,Neptune,2.0,1949.0,1949.0,Kuiper,Prograde irregular,170.0,551,360.14
273,Naiad,Neptune,3.0,1989.0,1989.0,Terrile (Voyager 2),Inner moon,33.0,482,0.294
274,Thalassa,Neptune,4.0,1989.0,1989.0,Terrile (Voyager 2),Inner moon,41.0,500,0.311
275,Despina,Neptune,5.0,1989.0,1989.0,Synnott (Voyager 2),Inner moon,78.0,525,0.335
276,Galatea,Neptune,6.0,1989.0,1989.0,Synnott (Voyager 2),Inner moon,88.0,619,0.429
277,Larissa,Neptune,7.0,,,"Reitsema, Hubbard, Lebofsky, Tholen (Voyager 2)",Inner moon,97.0,735,0.555
278,Proteus,Neptune,8.0,1989.0,1989.0,Synnott (Voyager 2),Inner moon,210.0,117,1.122
279,Halimede,Neptune,9.0,2002.0,2003.0,"Holman, Kavelaars, Grav, Fraser, Milisavljevic",Retrograde irregular,31.0,157,1879.71
280,Psamathe,Neptune,10.0,2003.0,2003.0,"Jewitt, Kleyna, Sheppard, Holman, Kavelaars",Retrograde irregular,20.0,466,9115.91
281,Sao,Neptune,11.0,2002.0,2003.0,"Holman, Kavelaars, Grav, Fraser, Milisavljevic",Prograde irregular,22.0,224,291.0
282,Laomedeia,Neptune,12.0,2002.0,2003.0,"Holman, Kavelaars, Grav, Fraser, Milisavljevic",Prograde irregular,21.0,235,316.0
283,Neso,Neptune,13.0,2002.0,2003.0,"Holman, Kavelaars, Grav, Fraser, Milisavljevic",Retrograde irregular,30.0,483,9740.73
284,Hippocamp,Neptune,14.0,,2013.0,Showalter et al.,Inner moon,17.4,105,0.9362
